RoadName,Mean travel time index (AM),80th percentile travel time index (AM),"Mean Unit Delay (per vehicle, minutes)(AM)","85th percentile Unit Delay  (per vehicle, minutes)(AM)",Mean travel time index (Noon),80th percentile travel time index (Noon),"Mean Unit Delay (per vehicle, minutes)(Noon)","85th percentile Unit Delay  (per vehicle, minutes)(Noon)",Mean travel time index (PM),80th percentile travel time index (PM),"Mean Unit Delay (per vehicle, minutes)(PM)","85th percentile Unit Delay  (per vehicle, minutes)(PM)"
AZ 77,0.97,1.08,0.09,0.45,0.97,1.06,0.18,0.5,1.04,1.21,0.28,0.82
East 22nd Street,1.05,1.17,1.28,3.78,1.04,1.12,1.23,2.82,1.1,1.22,2.23,5.04
East 36th Street,0.95,1.03,0.05,0.42,0.93,1.01,0.03,0.3,0.95,1.02,0.06,0.38
East 5th Street,0.99,1.1,0.25,0.86,0.96,1.04,0.19,0.56,0.97,1.05,0.21,0.66
East 6th Street,1.05,1.21,0.36,1.39,1.07,1.19,0.49,1.29,1.11,1.26,0.72,1.69
East Ajo Way,1.06,1.18,0.18,0.64,1.09,1.19,0.27,0.66,1.15,1.3,0.46,1.03
East Broadway Boulevard,0.95,1.06,0.52,1.93,1,1.1,1.07,2.55,1,1.12,1.08,2.88
East Camp Lowell Drive,0.73,0.95,0,0.08,0.87,1.1,0,0.08,0.89,1.06,0,0.07
East Congress Street,0.98,1.16,0.01,0.23,1.18,1.42,0.21,0.55,1.36,1.88,0.41,1.23
East Corona Road,0.88,0.95,0,0.03,0.87,0.95,0.02,0.06,0.85,0.93,0,0.03
East Drachman Street,0.92,1.02,0,0.21,0.98,1.08,0.16,0.46,0.92,1.01,0.02,0.42
East Drexel Road,1.11,1.25,0.5,1.19,1.02,1.15,0.17,0.77,1.02,1.14,0.31,0.78
East Escalante Road,0.98,1.04,0.04,0.3,0.97,1.02,0.01,0.19,0.98,1.04,0.08,0.23
East Fort Lowell Road,1.02,1.12,0.57,1.72,1.03,1.12,0.6,1.73,1.05,1.16,0.84,2.2
